Month,Region,Product_Category,Units_Sold,Revenue_USD,Cost_USD,Profit_USD
2025-01,Midwest,Hardware,40,1804.8,938.5,866.3
2025-01,Northeast,Software,57,4844.72,2688.82,2155.9
2025-01,South,Installation,74,8972.5,5293.78,3678.72
2025-01,West,Support,91,5826.27,3641.42,2184.85
2025-02,Northeast,Hardware,51,2337.84,1215.68,1122.16
2025-02,South,Software,68,5870.44,3258.09,2612.35
2025-02,West,Installation,85,10465.62,6174.72,4290.9
2025-02,Midwest,Support,102,6630.0,4143.75,2486.25
2025-03,South,Hardware,62,2886.72,1501.09,1385.63
2025-03,West,Software,79,6925.53,3843.67,3081.86
2025-03,Midwest,Installation,96,12000.0,7080.0,4920.0
2025-03,Northeast,Support,113,7455.17,4659.48,2795.69
2025-04,West,Hardware,73,3451.44,1794.75,1656.69
2025-04,Midwest,Software,90,8010.0,4445.55,3564.45
2025-04,Northeast,Installation,107,13575.62,8009.62,5566.0
2025-04,South,Support,124,8301.8,5188.62,3113.18
2025-05,Midwest,Hardware,84,4032.0,2096.64,1935.36
2025-05,Northeast,Software,101,9123.83,5063.73,4060.1
2025-05,South,Installation,118,15192.5,8963.58,6228.92
2025-05,West,Support,40,2444.0,1527.5,916.5
2025-06,Northeast,Hardware,95,4628.4,2406.77,2221.63
2025-06,South,Software,112,10267.04,5698.21,4568.83
2025-06,West,Installation,129,15157.5,8942.93,6214.57
2025-06,Midwest,Support,51,3165.82,1978.64,1187.18
2025-07,South,Hardware,106,5240.64,2725.13,2515.51
2025-07,West,Software,123,10290.18,5711.05,4579.13
2025-07,Midwest,Installation,45,5371.88,3169.41,2202.47
2025-07,Northeast,Support,62,3909.1,2443.19,1465.91
2025-08,West,Hardware,117,5279.04,2745.1,2533.94
2025-08,Midwest,Software,134,11389.33,6321.08,5068.25
2025-08,Northeast,Installation,56,6790.0,4006.1,2783.9
2025-08,South,Support,73,4673.82,2921.14,1752.68
2025-09,Midwest,Hardware,128,5867.52,3051.11,2816.41
2025-09,Northeast,Software,50,4316.5,2395.66,1920.84
2025-09,South,Installation,67,8249.38,4867.13,3382.25
2025-09,West,Support,84,5460.0,3412.5,2047.5
2025-10,Northeast,Hardware,44,2048.64,1065.29,983.35
2025-10,South,Software,61,5347.56,2967.9,2379.66
2025-10,West,Installation,78,9750.0,5752.5,3997.5
2025-10,Midwest,Support,95,6267.62,3917.26,2350.36
2025-11,South,Hardware,55,2600.4,1352.21,1248.19
2025-11,West,Software,72,6408.0,3556.44,2851.56
2025-11,Midwest,Installation,89,11291.87,6662.2,4629.67
2025-11,Northeast,Support,106,7096.7,4435.44,2661.26
2025-12,West,Hardware,66,3168.0,1647.36,1520.64
2025-12,Midwest,Software,83,7497.8,4161.28,3336.52
2025-12,Northeast,Installation,100,12875.0,7596.25,5278.75
2025-12,South,Support,117,7148.7,4467.94,2680.76
